# episode, total_reward, max_reward, ending_time, planes_taken_off, planes_landed, planes_encountered, go_arounds, crashes, processed_planes, reward_efficiency
0,306.00999999999715,375,1940,2,6,10,0,2,0.8,0.816026666666659
1,221.72999999998746,375,2000,1,5,10,0,0,0.6,0.5912799999999665
2,-203.76999999999543,475,2000,1,1,10,1,0,0.2,-0.42898947368420093
3,283.6899999999952,325,2000,1,8,10,0,0,0.9,0.872892307692293
4,-138.54999999999808,475,2000,0,2,10,0,0,0.2,-0.29168421052631177
5,-152.9299999999987,475,2000,1,2,10,0,0,0.3,-0.3219578947368394
6,312.5799999999875,350,2000,0,8,10,0,0,0.8,0.8930857142856785
7,271.9599999999929,325,2000,0,7,10,2,0,0.7,0.8367999999999781
8,52.99999999999895,400,2000,0,5,10,0,0,0.5,0.13249999999999737
9,-98.15000000000049,400,2000,1,2,10,0,0,0.3,-0.24537500000000123
10,-133.4999999999999,450,2000,0,2,10,0,0,0.2,-0.2966666666666664
11,110.36000000001223,400,2000,0,5,10,0,0,0.5,0.27590000000003057
12,-94.09999999999688,425,2000,0,4,10,0,0,0.4,-0.221411764705875
13,46.07000000000343,450,2000,0,4,10,0,0,0.4,0.10237777777778541
14,25.349999999999838,400,2000,0,4,10,0,0,0.4,0.0633749999999996
15,-1.9900000000029348,400,2000,0,5,10,0,0,0.5,-0.004975000000007337
16,110.36000000001223,400,2000,0,5,10,0,0,0.5,0.27590000000003057
17,-90.94999999999686,425,2000,0,4,10,0,0,0.4,-0.2139999999999926
18,92.02999999999594,425,2000,0,5,10,0,0,0.5,0.21654117647057866
19,-99.54999999999824,425,2000,0,4,10,0,0,0.4,-0.2342352941176429
20,-110.30000000000105,475,2000,0,2,10,0,0,0.2,-0.23221052631579167
21,-70.09000000000034,475,2000,0,2,10,0,0,0.2,-0.14755789473684283
22,46.07000000000343,450,2000,0,4,10,0,0,0.4,0.10237777777778541
23,-99.54999999999824,425,2000,0,4,10,0,0,0.4,-0.2342352941176429
24,46.07000000000343,450,2000,0,4,10,0,0,0.4,0.10237777777778541
25,39.68999999999881,400,2000,0,4,10,0,0,0.4,0.09922499999999702
26,271.9599999999929,325,2000,0,7,10,2,0,0.7,0.8367999999999781
27,-77.6499999999997,425,2000,0,2,10,0,0,0.2,-0.18270588235294044
28,-133.0900000000018,450,2000,0,2,10,0,0,0.2,-0.29575555555555955
29,39.419999999996946,400,2000,0,3,10,0,0,0.3,0.09854999999999237
30,-212.25000000000563,475,2000,0,2,10,0,0,0.2,-0.44684210526316975
31,-139.90000000000003,450,2000,0,0,10,0,0,0.0,-0.310888888888889
32,-70.09000000000034,475,2000,0,2,10,0,0,0.2,-0.14755789473684283
33,-85.76000000000124,475,2000,0,3,10,0,0,0.3,-0.18054736842105523
34,-87.49000000000028,450,2000,0,3,10,0,0,0.3,-0.19442222222222283
35,39.419999999996946,400,2000,0,3,10,0,0,0.3,0.09854999999999237
36,-15.569999999999988,475,2000,0,2,10,0,0,0.2,-0.032778947368421026
37,-89.16000000000177,475,2000,0,1,10,0,0,0.1,-0.18770526315789848
38,244.71000000000151,375,2000,0,7,10,0,0,0.7,0.652560000000004
39,-17.500000000001222,400,2000,0,4,10,0,0,0.4,-0.04375000000000306
40,-46.980000000001006,475,2000,0,2,10,0,0,0.2,-0.09890526315789686
0,6.209999999999152,475,2000,0,1,10,0,0,0.1,0.01307368421052453
1,-40.34000000000272,425,2000,1,3,10,0,0,0.4,-0.09491764705882992
0,105.17999999999877,475,2000,2,0,10,0,0,0.2,0.22143157894736584
0,193.6199999999817,425,2000,1,4,10,0,0,0.5,0.45557647058819223
1,-108.72000000000139,475,2000,1,2,10,0,0,0.3,-0.22888421052631872
2,87.96999999999298,350,2000,0,5,10,2,0,0.5,0.2513428571428371
3,107.78999999999675,400,2000,2,1,10,0,0,0.3,0.26947499999999186
0,102.12999999999982,425,2000,5,0,10,2,0,0.5,0.24030588235294076
1,272.1999999999924,350,2000,1,5,10,0,0,0.6,0.7777142857142639
